bea_code,detail_code,bea_desc,category
F02E00,equipment,Nonresidential private fixed investment in equipment,finaldemand
F04000,exports,Exports of goods and services,
332996,fab_fmt,Fabricated pipe and pipe fitting manufacturing,goods
561200,fac_adm,Facilities support services,goods
311225,fat_fbp,Fats and oils refining and blending,goods
445000,fbt_fbt,Food and beverage stores,goods
S00500,fdd_fdd,Federal general government (defense),goods
F07E00,fed_equipment,Federal nondefense: Gross investment in equipment,finaldemand
F07N00,fed_intelprop,Federal nondefense: Gross investment in intellectual property products,finaldemand
F07S00,fed_structures,Federal nondefense: Gross investment in structures,finaldemand
114000,fht_fof,"Fishing, hunting and trapping",goods
525000,fin_fin,"Funds, trusts, and other financial vehicles",goods
33399B,fld_mch,Fluid power process machinery,goods
111400,flo_agr,"Greenhouse, nursery, and floriculture production",goods
311210,flr_fbp,Flour milling and malt manufacturing,goods
325310,fmf_che,Fertilizer manufacturing,goods
331510,fmf_pmt,Ferrous metal foundries,goods
313200,fml_tex,Fabric mills,goods
S00600,fnd_fnd,Federal general government (nondefense),goods
326140,fom_pla,Polystyrene foam product manufacturing,goods
333111,frm_mch,Farm machinery and equipment manufacturing,goods
33211A,fss_fmt,"All other forging, stamping, and sintering",goods
722110,ful_res,Full-service restaurants,goods
812200,fun_osv,Death care services,goods
313100,fyt_tex,"Fiber, yarn, and thread mills",goods
311410,fzn_fbp,Frozen food manufacturing,goods
336310,gas_mot,Motor vehicle gasoline engine and engine parts manufacturing,goods
447000,gas_ott,Gasoline stations,goods
221200,gas_uti,Natural gas distribution,goods
327200,gla_nmp,Glass and glass product manufacturing,goods
452000,gmt_gmt,General merchandise stores,goods
485000,grd_grd,Transit and ground passenger transportation,goods
1111B0,grn_agr,Grain farming,goods
424400,gro_wht,Grocery and related product wholesalers,goods
813A00,grt_osv,"Grantmaking, giving, and social advocacy organizations",goods
335221,hca_eec,Household cooking appliance manufacturing,goods
233210,hcs_con,Health care structures,goods
332500,hdw_fmt,Hardware manufacturing,goods
333414,hea_mch,Heating equipment (except warm air furnaces) manufacturing,goods
446000,hea_ott,Health and personal care stores,goods
GSLGH,hea_slg,State and local government hospitals and health services,goods
811400,hgr_osv,Personal and household goods repair and maintenance,goods
423600,hha_wht,Household appliances and electrical and electronic goods,goods
335224,hle_eec,Household laundry equipment manufacturing,goods
621600,hom_amb,Home health care services,goods
336213,hom_mot,Motor home manufacturing,goods
622000,hos_hos,Hospitals,goods
335222,hrf_eec,Household refrigerator and home freezer manufacturing,goods
336120,htr_mot,Heavy duty truck manufacturing,goods
