summary_code,detail_code,detail_desc,bea_code
fbp,chs_fbp,Cheese manufacturing,311513
fbp,cig_fbp,Tobacco manufacturing,312200
fbp,cok_fbp,"Cookie, cracker, pasta, and tortilla manufacturing",3118A0
fbp,dog_fbp,Dog and cat food manufacturing,311111
fbp,dry_fbp,"Dry, condensed, and evaporated dairy product manufacturing",311514
fbp,fat_fbp,Fats and oils refining and blending,311225
fbp,flr_fbp,Flour milling and malt manufacturing,311210
fbp,fzn_fbp,Frozen food manufacturing,311410
fbp,ice_fbp,Ice cream and frozen dessert manufacturing,311520
fbp,mlk_fbp,Fluid milk and butter manufacturing,31151A
fbp,oaf_fbp,Other animal food manufacturing,311119
fbp,ofm_fbp,All other food manufacturing,311990
fbp,pop_fbp,Soft drink and ice manufacturing,312110
fbp,sea_fbp,Seafood product preparation and packaging,311700
fbp,snk_fbp,Snack food manufacturing,311910
fbp,soy_fbp,Soybean and other oilseed processing,311224
fbp,spc_fbp,Seasoning and dressing manufacturing,311940
fbp,sug_fbp,Sugar and confectionery product manufacturing,311300
fbp,syr_fbp,Flavoring syrup and concentrate manufacturing,311930
fbp,tea_fbp,Coffee and tea manufacturing,311920
fbp,wet_fbp,Wet corn milling,311221
fbp,why_fbp,Distilleries,312140
fbp,wne_fbp,Wineries,312130
fbt,fbt_fbt,Food and beverage stores,445000
fdd,fdd_fdd,Federal general government (defense),S00500
fen,ele_fen,Federal electric utilities,S00101
fen,ofg_fen,Other federal government enterprises,S00102
fen,pst_fen,Postal service,491000
fin,fin_fin,"Funds, trusts, and other financial vehicles",525000
fmt,amn_fmt,"Ammunition, arms, ordnance, and accessories manufacturing",33299A
fmt,bbr_fmt,Ball and roller bearing manufacturing,332991
fmt,ceh_fmt,"Coating, engraving, heat treating and allied activities",332800
fmt,crn_fmt,"Metal crown, closure, and other metal stamping (except automotive)",332119
fmt,cut_fmt,Cutlery and handtool manufacturing,332200
fmt,fab_fmt,Fabricated pipe and pipe fitting manufacturing,332996
fmt,fss_fmt,"All other forging, stamping, and sintering",33211A
fmt,hdw_fmt,Hardware manufacturing,332500
fmt,mch_fmt,Machine shops,332710
fmt,mtc_fmt,"Metal can, box, and other metal container (light gauge) manufacturing",332430
fmt,mtt_fmt,Metal tank (heavy gauge) manufacturing,332420
fmt,omf_fmt,Other fabricated metal manufacturing,332999
fmt,orn_fmt,Ornamental and architectural metal products manufacturing,332320
fmt,plb_fmt,Plumbing fixture fitting and trim manufacturing,332913
fmt,plt_fmt,Plate work and fabricated structural product manufacturing,332310
fmt,pwr_fmt,Power boiler and heat exchanger manufacturing,332410
fmt,rol_fmt,Custom roll forming,332114
fmt,spr_fmt,Spring and wire product manufacturing,332600
